alcohol,amount,attributes,company,description,dilivery,image_src,price,stock,title,url
"41,5 % vol","2,8 Liter",{'Sorte:': 'Whiskey'},,"Cooley war lange Zeit die einzige unabhängige Brennerei in Irland. Mit den unterschiedlichen Marken deckt Cooley eine große Aromenpalette ab: Tyrconnell ist ein sehr fruchtiger und malziger Single Malt Whiskey, Kilbeggan ist ein klassischer, sehr weicher irischer Blended Whiskey mit Getreide- und Malznoten, während die Connemara Abfüllungen ungewöhnlich stark getorft sind mit süß-fruchtigen sowie deutlichen Vanillenoten. ",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_LIVECOO07_1.jpg,"77,90",geringer Vorrat,"Cooley Live Event Set, groß",https://www.whisky.de/shop/Irland/Cooley-Live-Event-Set-gross.html?&searchorigin=2
"40,3 % vol","0,9 Liter",{'Sorte:': 'Whiskey'},,"Cooley war lange Zeit die einzige unabhängige Brennerei in Irland. Mit den unterschiedlichen Marken deckt Cooley eine große Aromenpalette ab: Tyrconnell ist ein sehr fruchtiger und malziger Single Malt Whiskey, Kilbeggan ist ein klassischer, sehr weicher irischer Blended Whiskey mit Getreide- und Malznoten, während die Connemara Abfüllungen ungewöhnlich stark getorft sind mit süß-fruchtigen sowie deutlichen Vanillenoten. ",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_LIVECOO02_1.jpg,"32,90",sofort lieferbar,"Cooley Live Event Set, mittel",https://www.whisky.de/shop/Irland/Cooley-Live-Event-Set-mittel.html?&searchorigin=2
46 % vol,"0,7 Liter",{'Sorte:': 'Single Malt Whiskey'},Wicklow Hills Whiskey Ltd Redcross Wicklow/IE,"An der Ostküste Irlands liegt die Stadt Barraniskey. Ihr Name lässt sich von dem irischen Begriff 'Barr an Uisce' ableiten. Der Gründer des Barr an Uisce Whiskys, Ian Jones, stammt von dem nahegelegenen Dorf Redcross. Der 10-jährige Single Malt wurde in frischen Bourbonfässern gereift.",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BARRU1000_1.jpg,"56,90",geringer Vorrat,Barr an Uisce 1803 10 Jahre,https://www.whisky.de/shop/Irland/Barr-an-Uisce-1803-10-Jahre.html?&searchorigin=2
40 % vol,1 Liter,{'Sorte:': 'Single Malt Whiskey'},Old Bushmills Distillery Co. Ltd. 2 Distillery Road Bushmills Antrim BT57 8XH/GB,Zum 125-jährigen Jubiläum der SS Bushmills wurde eine Reihe an verschiedenen Fassreifungen herausgebracht. Die 3. Edition wurde dreifach destilliert und reifte in Bourbon Fässern aus Kentucky nach. ,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BUSHM0STB_1.jpg,"36,90",sofort lieferbar,Bushmills Steamship Bourbon Cask,https://www.whisky.de/shop/Irland/Bushmills-Steamship-Bourbon-Cask.html?&searchorigin=2
40 % vol,1 Liter,{'Sorte:': 'Single Malt Whiskey'},Old Bushmills Distillery Co. Ltd. 2 Distillery Road Bushmills Antrim BT57 8XH/GB,"Vor 125 Jahren hatte die SS Bushmills, das brennereieigene Dampfschiff, seine Jungfernfahrt. Die erste Edition aus der gleichnamigen Serie wurde im Gegensatz zu den Standardabfüllungen gänzlich in Sherryfässern gereift.",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BUSHM0STS_1.jpg,"53,90",sofort lieferbar,Bushmills Steamship Sherry Cask,https://www.whisky.de/shop/Irland/Bushmills-Steamship-Sherry-Cask.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Single Malt Whiskey'},Old Bushmills Distillery Co. Ltd. 2 Distillery Road Bushmills Antrim BT57 8XH/GB,Der 10-Jährige von Bushmills wird zu 100% aus gemälzter Gerste hergestellt und dreifach destilliert. Die Reifung erfolgt zum größten Teil in Bourbonfässern.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BUSHM1000_1.jpg,"24,99",sofort lieferbar,Bushmills 10 Jahre,https://www.whisky.de/shop/Irland/Bushmills-10-Jahre--.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Single Malt Whiskey'},Old Bushmills Distillery Co. Ltd. 2 Distillery Road Bushmills Antrim BT57 8XH/GB,Der 10-Jährige von Bushmills wird zu 100% aus gemälzter Gerste hergestellt und dreifach destilliert. Die Reifung erfolgt zum größten Teil in Bourbonfässern.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BUSHM10GL_1.jpg,"27,90",sofort lieferbar,Bushmills mit 2 Gläsern 10 Jahre,https://www.whisky.de/shop/Irland/Bushmills-mit-2-Glaesern-10-Jahre--.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Single Malt Whiskey'},Old Bushmills Distillery Co. Ltd. 2 Distillery Road Bushmills Antrim BT57 8XH/GB,Zum 125-jährigen Jubiläum der SS Bushmills wurde eine Reihe an verschiedenen Fassreifungen herausgebracht. Die 2. Edition reifte in Ruby Portweinfässern.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BUSHM0STP_1.jpg,"69,90",sofort lieferbar,Bushmills Steamship Port Cask,https://www.whisky.de/shop/Irland/Bushmills-Steamship-Port-Cask.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Single Malt Whiskey'},Old Bushmills Distillery Co. Ltd. 2 Distillery Road Bushmills Antrim BT57 8XH/GB,Die Steamship Collection wurde zu Ehren des 125-jährigen Jubiläums der Überfahrt des Dampfschiffes 'SS Bushmills' abgefüllt. Die SS Bushmills brachte im September 1890 die erste Ladung irischen Whiskeys aus der Brennerei in die USA.  Die 4. Edition wurde dreifach destilliert und reifte in erstbefüllten karibischen Rumfässern nach. ,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BUSHM0STR_1.jpg,"86,90",sofort lieferbar,Bushmills Steamship Rum Cask,https://www.whisky.de/shop/Irland/Bushmills-Steamship-Rum-Cask.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Single Malt Whiskey'},Old Bushmills Distillery Co. Ltd. 2 Distillery Road Bushmills Antrim BT57 8XH/GB,"Den Beinamen Three Woods trägt dieser Bushmills, da er aus einer Mischung aus Bourbon-, Sherry- und Portweinfass gelagerten Whiskeys besteht. Der 16-Jährige ist auf dem Markt nur noch äußerst selten erhältlich.",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_BUSHM1600_1.jpg,"98,90",sofort lieferbar,Bushmills Three Woods 16 Jahre,https://www.whisky.de/shop/Irland/Bushmills-Three-Woods-16-Jahre--.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Tumbler'},,Tulpenförmiger Tumbler mit Schriftzug der Brennerei Aberlour.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLABERL1_1.jpg,"3,90",sofort lieferbar,"Tumbler Aberlour, einzeln",https://www.whisky.de/shop/Zubehoer/Tumbler-Aberlour-einzeln.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Tumbler'},,Tulpenförmiger Tumbler mit Schriftzug der Brennerei Aberlour.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLABERL6_1.jpg,"19,90",sofort lieferbar,"Tumbler Aberlour, 6 Stück",https://www.whisky.de/shop/Zubehoer/Tumbler-Aberlour-6-Stueck.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Stielglas'},,Mit beigem Schriftzug und Aromadeckel.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLARDBE_1.jpg,"6,90",sofort lieferbar,Stielglas Motiv Ardbeg mit Deckel,https://www.whisky.de/shop/Zubehoer/Stielglas-Motiv-Ardbeg-mit-Deckel.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Tumbler'},,Tulpenförmiger grüner Tumbler mit weißer Aufschrift.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLARDBE1_1.jpg,"8,90",sofort lieferbar,"Tumbler Ardbeg (grün), einzeln",https://www.whisky.de/shop/Zubehoer/Tumbler-Ardbeg-gruen-einzeln--.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Tumbler'},,Tulpenförmiger grüner Tumbler mit weißer Aufschrift.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLARDBE6_1.jpg,"48,90",sofort lieferbar,"Tumbler Ardbeg (grün), 6 Stück",https://www.whisky.de/shop/Zubehoer/Tumbler-Ardbeg-gruen-6-Stueck--.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Tumbler'},,Glencairn Glas mit Logo der Brennerei Balvenie.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLBALVE1_1.jpg,"4,90",sofort lieferbar,"Glencairn Glas Balvenie, einzeln",https://www.whisky.de/shop/Zubehoer/Glencairn-Glas-Balvenie-einzeln--.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Tumbler'},,Glencairn Glas mit Logo der Brennerei Balvenie.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLBALVE6_1.jpg,"24,90",sofort lieferbar,"Glencairn Glas Balvenie, 6 Stück",https://www.whisky.de/shop/Zubehoer/Glencairn-Glas-Balvenie-6-Stueck--.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Stielglas'},,Nosingglas mit Bowmore-Logo. ,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLBOWMS1_1.jpg,"3,90",geringer Vorrat,"Stielglas Bowmore, einzeln",https://www.whisky.de/shop/Zubehoer/Stielglas-Bowmore-einzeln.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Stielglas'},,Nosingglas mit Bowmore-Logo. ,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLBOWMS6_1.jpg,"19,90",geringer Vorrat,"Stielglas Bowmore, 6 Stück",https://www.whisky.de/shop/Zubehoer/Stielglas-Bowmore-6-Stueck.html?&searchorigin=2
&nbsp,&nbsp,{'Sorte:': 'Stielglas'},,Nosingglas (Stielglas) mit weißer Aufschrift und Classic Malt Logo.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ZGLCLASS1_1.jpg,"3,90",sofort lieferbar,"Stielglas Classic Malt, einzeln",https://www.whisky.de/shop/Zubehoer/Stielglas-Classic-Malt-einzeln.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Single Malt Whisky'},Ardmore Distillery Co. Ltd. Huntly Aberdeenshire AB 54 4NH/GB,Die Brennerei Ardmore wurde bereits im Jahr 1898 von Wm. Teacher & Sons gegründet. Die Abfüllung Legacy enthält rauchige und nicht-rauchige Whiskys und wurde zusätzlich in klassischen Quarter Casks gelagert. Für das Raucharoma wurde ausschließlich Torf aus den Highlands verwendet.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ARDMO00LE_1.jpg,"21,99",sofort lieferbar,Ardmore Legacy,https://www.whisky.de/shop/Angebote/Ardmore-Legacy.html?&searchorigin=2
46 % vol,"0,7 Liter",{'Sorte:': 'Kentucky Straight Rye'},Sierra Madre GmbH Rohrstr. 15 58093 Hagen/DE,1776 ist die älteste Whiskeymarke Amerikas. Elijah Pepper gründete das Unternehmen in diesem Jahr. Der Whiskey wurde noch drei Generationen im Familienbesitz hergestellt. Inzwischen hat das Unternehmen Georgetown Trading Co. die Marke übernommen.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_1776BOU46_1.jpg,"36,90",sofort lieferbar,1776 Bourbon 46%,https://www.whisky.de/shop/USA/1776-Bourbon-46.html?&searchorigin=2
